Symbol,Ticker Name,Sector
1155.KL,Malayan Banking Berhad,Finance
1295.KL,Public Bank Berhad,Finance
1023.KL,CIMB Group Holdings Berhad,Finance
5819.KL,Hong Leong Bank Berhad,Finance
1066.KL,RHB Bank Berhad,Finance
5285.KL,SD Guthrie Berhad,Process Industries
5183.KL,Petronas Chemicals Group Berhad,Process Industries
1961.KL,IOI Corporation Berhad,Process Industries
2445.KL,Kuala Lumpur Kepong Berhad,Process Industries
4065.KL,PPB Group Berhad,Process Industries
5347.KL,Tenaga Nasional Berhad,Utilities
6033.KL,Petronas Gas Berhad,Utilities
6742.KL,YTL Power International Berhad,Utilities
4677.KL,YTL Corporation Berhad,Utilities
5209.KL,Gas Malaysia Berhad,Utilities
6947.KL,Celcom Digi Berhad,Communications
4863.KL,Telekom Malaysia Berhad,Communications
6012.KL,Maxis Berhad,Communications
6888.KL,Axiata Group Berhad,Communications
0032.KL,Redtone Digital Berhad,Communications
7293.KL,Yinson Holdings Berhad,Producer Manafucaturing
7153.KL,Kossan Rubber Industries Berhad,Producer Manafucaturing
0208.KL,Greatech Technology Berhad,Producer Manafucaturing
6963.KL,V.S Industry Berhad,Producer Manafucaturing
7172.KL,PMB Technology Berhad,Producer Manafucaturing
5225.KL,IHH Healthcare Berhad,Health Services
5878.KL,KPJ Healthcare Berhad,Health Services
0303.KL,Alpha IVF Group Berhad,Health Services
0101.KL,TMC Life Sciences Berhad,Health Services
0222.KL,Optimax Holdings Berhad,Health Services
5398.KL,Gamuda Berhad,Industrial Services
7277.KL,Dialog Group Berhad,Industrial Services
3336.KL,IJM Corporation Berhad,Industrial Services
5263.KL,Sunway Construction Group Berhad,Industrial Services
5210.KL,Bumi Armada Berhad,Industrial Services
7084.KL,QL Resources Berhad,Consumer Non-Durables
4707.KL,Nestle (M) Berhad,Consumer Non-Durables
3689.KL,Fraser & Neave Holdings Berhad,Consumer Non-Durables
3255.KL,Heineken Malaysia Berhad,Consumer Non-Durables
2836.KL,Carlsberg Brewery Malaysia Berhad,Consumer Non-Durables
5681.KL,Petronas Dagangan Berhad,Distribution Services
4197.KL,Sime Darby Berhad,Distribution Services
5296.KL,MR D.I.Y Group (M) Berhad,Distribution Services
5273.KL,Chin Hin Group Berhad,Distribution Services
7106.KL,Supermax Corporation Berhad,Distribution Services
3816.KL,MISC Berhad,Transportation
5246.KL,Westports Holdings Berhad,Transportation
5099.KL,Capital A Berhad,Transportation
5032.KL,Bintulu Port Holdings Berhad,Transportation
0078.KL,GDEX Berhad,Transportation
5211.KL,Sunway Berhad,Consumer Durables
3301.KL,Hong Leong Industries Berhad,Consumer Durables
7187.KL,Chin Hin Group Property Berhad,Consumer Durables
1619.KL,DRB-HICOM Berhad,Consumer Durables
5293.KL,AME Elite Consortium Berhad,Consumer Durables
0166.KL,Inari Amertron Berhad,Electronic Technology
0128.KL,Frontken Corporation Berhad,Electronic Technology
0097.KL,Vitrox Corporation Berhad,Electronic Technology
3867.KL,Malaysian Pacific Industries,Electronic Technology
5005.KL,Unisem (M) Berhad,Electronic Technology
3182.KL,Genting Berhad,Consumer Services
4715.KL,Genting Malaysia Berhad,Consumer Services
1562.KL,Sports Toto Berhad,Consumer Services
3395.KL,Berjaya Corporation Berhad,Consumer Services
3859.KL,Magnum Berhad,Consumer Services
5326.KL,99 Speed Mart Retail Holdings Berhad,Retail Trade
4006.KL,Oriental Holdings Berhad,Retail Trade
5250.KL,7-Eleven Malaysia Holdings Berhad,Retail Trade
5983.KL,MBM Resources Berhad,Retail Trade
6599.KL,AEON Co. (M) Berhad,Retail Trade
5031.KL,Time Dotcom Berhad,Technology Services
0138.KL,MY E.G. Services Berhad,Technology Services
0034.KL,MMAG Holdings Berhad,Technology Services
5162.KL,VSTECS Berhad,Technology Services
4456.KL,Dagang Nexchange Berhad,Technology Services
